Date,Day,Month,Day_of_Week,Is_Weekend,Day_Type,Is_Festival,Store_ID,Store_Type,Location_Type,Item_Name,Category,Units_Stocked,Units_Sold,Units_Remaining,Unit_Price,Discount,Revenue,Demand_Level,Suggested_Next_Stock,Store_Type_Encoded,Location_Type_Encoded,Category_Encoded,Day_Type_Encoded,Lag_1_Units_Sold,Lag_1_Revenue,Lag_7_Units_Sold,Lag_7_Revenue,Rolling_Mean_7d_Units_Sold,Rolling_Mean_7d_Revenue,Rolling_Std_7d_Units_Sold,Rolling_Std_7d_Revenue,Sell_Through_Ratio,Stock_Remaining_Ratio,Revenue_Per_Unit_Stocked,Discount_Applied,High_Demand_Flag,Low_Stock_Flag
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,6,5,1,24.03,0.0,120.14,Medium,10,1,2,1,0,5.0,120.14,5.0,120.14,5.0,120.14,0.0,0.0,0.8333333333333334,0.16666666666666666,20.023333333333333,0,0,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,7,4,3,40.41,0.0,161.65,Medium,9,1,2,1,0,5.0,120.14,5.0,120.14,4.5,140.895,0.7071067811865476,29.352002487053586,0.5714285714285714,0.42857142857142855,23.092857142857145,0,0,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,5,3,2,210.24,0.0,630.71,Medium,8,1,2,1,0,4.0,161.65,5.0,120.14,4.0,304.1666666666667,1.0,283.5554292080004,0.6,0.4,126.14200000000001,0,0,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Rice,Non-Perishable,30,24,6,68.24,0.0,1637.83,Medium,31,1,2,0,0,3.0,630.71,5.0,120.14,9.0,637.5825,10.03327796219494,705.8802490212722,0.8,0.2,54.59433333333333,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,70,45,25,103.25,0.0,4646.37,Medium,54,1,2,0,0,24.0,1637.83,5.0,120.14,16.2,1439.34,18.294808006644946,1894.1424546480127,0.6428571428571429,0.35714285714285715,66.37671428571429,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,26,15,11,38.68,0.0,580.27,Medium,21,1,2,0,0,45.0,4646.37,5.0,120.14,16.0,1296.1616666666666,16.3707055437449,1730.092691625702,0.5769230769230769,0.4230769230769231,22.318076923076923,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,33,32,1,144.94,0.0,4637.98,High,40,1,2,0,0,15.0,580.27,5.0,120.14,18.285714285714285,1773.5642857142855,16.121562018140857,2022.3114067971587,0.9696969696969697,0.030303030303030304,140.54484848484847,0,1,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,57,30,27,28.49,0.0,854.62,Medium,38,1,2,0,0,32.0,4637.98,5.0,120.14,21.857142857142858,1878.49,15.44267433044518,1939.5893658796265,0.5263157894736842,0.47368421052631576,14.993333333333334,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Snacks,Non-Perishable,33,16,17,69.72,0.0,1115.59,Low,22,1,2,0,0,30.0,854.62,4.0,161.65,23.571428571428573,2014.7671428571427,13.697410252272055,1829.2310796316783,0.48484848484848486,0.5151515151515151,33.805757575757575,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Masala,Non-Perishable,41,26,15,45.96,0.0,1195.07,Medium,33,1,2,0,0,16.0,1115.59,3.0,630.71,26.857142857142858,2095.39,10.270160197201916,1769.5247465444875,0.6341463414634146,0.36585365853658536,29.1480487804878,0,0,0
