Date,Day,Month,Day_of_Week,Is_Weekend,Day_Type,Is_Festival,Store_ID,Store_Type,Location_Type,Item_Name,Category,Units_Stocked,Units_Sold,Units_Remaining,Unit_Price,Discount,Revenue,Demand_Level,Suggested_Next_Stock
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,6,5,1,24.03,0.0,120.14,Medium,10
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,7,4,3,40.41,0.0,161.65,Medium,9
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,5,3,2,210.24,0.0,630.71,Medium,8
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Rice,Non-Perishable,30,24,6,68.24,0.0,1637.83,Medium,31
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,70,45,25,103.25,0.0,4646.37,Medium,54
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,26,15,11,38.68,0.0,580.27,Medium,21
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,33,32,1,144.94,0.0,4637.98,High,40
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,57,30,27,28.49,0.0,854.62,Medium,38
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Snacks,Non-Perishable,33,16,17,69.72,0.0,1115.59,Low,22
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Masala,Non-Perishable,41,26,15,45.96,0.0,1195.07,Medium,33
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Sugar,Non-Perishable,33,30,3,55.43,0.086,1520.02,High,38
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Salt,Non-Perishable,40,32,8,15.64,0.0,500.34,Medium,40
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Bread,Perishable,10,8,2,51.4,0.0,411.18,Medium,13
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Eggs,Perishable,5,4,1,38.55,0.061,144.83,Medium,9
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Milk,Perishable,6,4,2,27.33,0.0,109.34,Medium,9
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Curd,Perishable,24,24,0,58.59,0.0,1406.25,High,31
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Paneer,Perishable,19,19,0,202.26,0.073,3563.2,High,25
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Rice,Non-Perishable,46,32,14,70.43,0.0,2253.76,Medium,40
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Toor Dal,Non-Perishable,154,112,42,135.15,0.0,15136.91,Medium,128
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Wheat Flour,Non-Perishable,51,38,13,31.02,0.0,1178.67,Medium,46
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Cooking Oil,Non-Perishable,70,63,7,159.16,0.0,10026.84,High,74
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Biscuits,Non-Perishable,100,67,33,23.21,0.0,1554.76,Medium,78
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Snacks,Non-Perishable,46,28,18,55.45,0.0,1552.7,Medium,35
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Masala,Non-Perishable,95,54,41,53.95,0.0,2913.26,Medium,64
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Sugar,Non-Perishable,114,86,28,57.55,0.0,4949.02,Medium,99
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Salt,Non-Perishable,122,104,18,17.42,0.14,1558.42,Medium,119
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Bread,Perishable,10,5,5,56.61,0.0,283.06,Medium,10
01-01-2025,1,1,2,0,Weekday,0,STORE_002,Medium,Semi-Urban,Eggs,Perishable,9,7,2,42.13,0.06,277.16,Medium,12
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Milk,Perishable,17,15,2,24.92,0.0,373.73,Medium,21
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Curd,Perishable,18,11,7,56.98,0.0,626.83,Medium,17
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Paneer,Perishable,41,27,14,207.52,0.0,5602.95,Medium,34
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Rice,Non-Perishable,156,79,77,69.7,0.0,5506.36,Medium,91
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Toor Dal,Non-Perishable,88,87,1,147.7,0.0,12849.59,High,100
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Wheat Flour,Non-Perishable,175,119,56,44.33,0.0,5275.64,Medium,135
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Cooking Oil,Non-Perishable,187,133,54,164.54,0.0,21884.37,Medium,151
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Biscuits,Non-Perishable,239,172,67,29.75,0.102,4596.13,Medium,194
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Snacks,Non-Perishable,261,245,16,68.56,0.0,16797.61,High,274
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Masala,Non-Perishable,215,162,53,103.86,0.0,16825.91,Medium,183
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Sugar,Non-Perishable,134,83,51,51.57,0.097,3866.67,Medium,96
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Salt,Non-Perishable,96,67,29,15.37,0.0,1030.02,Medium,78
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Bread,Perishable,33,31,2,32.56,0.103,905.27,High,39
01-01-2025,1,1,2,0,Weekday,0,STORE_003,Supermarket,Rural,Eggs,Perishable,28,18,10,40.33,0.0,725.87,Medium,24
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,9,9,0,24.03,0.0,216.3,High,14
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,9,5,4,59.1,0.0,295.49,Medium,10
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,6,4,2,181.01,0.055,684.5,Medium,9
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Rice,Non-Perishable,31,29,2,53.91,0.0,1563.49,High,36
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,46,32,14,102.27,0.0,3272.49,Medium,40
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,24,15,9,28.26,0.114,375.46,Medium,21
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,53,53,0,156.66,0.0,8302.99,High,63
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,16,13,3,9.89,0.06,120.9,Medium,19
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Snacks,Non-Perishable,24,18,6,21.4,0.0,385.13,Medium,24
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Masala,Non-Perishable,44,32,12,110.2,0.0,3526.33,Medium,40
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Sugar,Non-Perishable,46,46,0,48.25,0.0,2219.61,High,55
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Salt,Non-Perishable,37,37,0,19.29,0.0,713.73,High,45
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Bread,Perishable,6,3,3,56.87,0.0,170.6,Medium,8
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Eggs,Perishable,9,5,4,49.0,0.0,245.01,Medium,10
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Milk,Perishable,11,11,0,31.78,0.0,349.59,High,17
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Curd,Perishable,18,12,6,50.99,0.0,611.89,Medium,18
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Paneer,Perishable,12,9,3,187.08,0.12,1481.5,Medium,14
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Rice,Non-Perishable,66,52,14,53.39,0.0,2776.46,Medium,62
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Toor Dal,Non-Perishable,97,74,23,138.86,0.0,10275.44,Medium,86
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Wheat Flour,Non-Perishable,36,27,9,25.23,0.0,681.13,Medium,34
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Cooking Oil,Non-Perishable,82,62,20,196.97,0.0,12212.38,Medium,73
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Biscuits,Non-Perishable,60,50,10,5.3,0.0,265.19,Medium,60
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Snacks,Non-Perishable,85,68,17,57.76,0.0,3927.95,Medium,79
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Masala,Non-Perishable,146,86,60,43.64,0.0,3752.67,Medium,99
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Sugar,Non-Perishable,63,63,0,49.27,0.0,3104.26,High,74
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Salt,Non-Perishable,82,76,6,21.98,0.0,1670.6,High,88
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Bread,Perishable,4,3,1,57.98,0.0,173.95,Medium,8
02-01-2025,2,1,3,0,Weekday,0,STORE_002,Medium,Semi-Urban,Eggs,Perishable,15,14,1,49.75,0.0,696.44,High,20
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Milk,Perishable,21,19,2,27.39,0.0,520.46,High,25
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Curd,Perishable,52,44,8,59.93,0.0,2637.04,Medium,53
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Paneer,Perishable,24,14,10,246.78,0.0,3454.97,Medium,20
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Rice,Non-Perishable,180,144,36,54.54,0.0,7854.09,Medium,163
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Toor Dal,Non-Perishable,65,65,0,143.83,0.0,9349.12,High,76
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Wheat Flour,Non-Perishable,64,34,30,39.08,0.0,1328.77,Medium,42
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Cooking Oil,Non-Perishable,180,161,19,192.33,0.0,30965.56,Medium,182
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Biscuits,Non-Perishable,124,91,33,26.56,0.0,2416.88,Medium,105
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Snacks,Non-Perishable,140,65,75,49.56,0.0,3221.21,Low,76
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Masala,Non-Perishable,104,76,28,50.24,0.0,3818.52,Medium,88
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Sugar,Non-Perishable,72,45,27,53.35,0.0,2400.8,Medium,54
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Salt,Non-Perishable,115,108,7,16.77,0.062,1698.76,High,123
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Bread,Perishable,22,20,2,53.98,0.0,1079.65,High,27
02-01-2025,2,1,3,0,Weekday,0,STORE_003,Supermarket,Rural,Eggs,Perishable,24,15,9,35.54,0.0,533.06,Medium,21
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,5,2,3,26.8,0.0,53.59,Low,7
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,4,2,2,57.9,0.0,115.81,Medium,7
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,4,2,2,206.41,0.082,378.88,Medium,7
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Rice,Non-Perishable,52,44,8,73.74,0.0,3244.72,Medium,53
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,39,35,4,121.58,0.078,3921.88,Medium,43
