Product_ID,Product_Name,Category,Default_Price_Min,Default_Price_Max,Date_Added
PROD_001,Milk,Perishable,22,35,16-04-2026
PROD_002,Curd,Perishable,40,60,16-04-2026
PROD_003,Paneer,Perishable,180,250,16-04-2026
PROD_004,Rice,Non-Perishable,50,90,16-04-2026
PROD_005,Toor Dal,Non-Perishable,100,150,16-04-2026
PROD_006,Wheat Flour,Non-Perishable,25,45,16-04-2026
PROD_007,Cooking Oil,Non-Perishable,120,200,16-04-2026
PROD_008,Biscuits,Non-Perishable,5,30,16-04-2026
PROD_009,Snacks,Non-Perishable,20,80,16-04-2026
PROD_010,Masala,Non-Perishable,40,120,16-04-2026
PROD_011,Sugar,Non-Perishable,40,60,16-04-2026
PROD_012,Salt,Non-Perishable,15,25,16-04-2026
PROD_013,Bread,Perishable,30,60,16-04-2026
PROD_014,Eggs,Perishable,30,50,16-04-2026
