Sale_ID,Date,Product_Name,Units_Sold,Unit_Price,Discount,Revenue,Promo,Holiday,Shop_Closed
SALE_000001,16-04-2026,Milk,15,25.5,0.1,344.25,0,0,0
SALE_000002,16-04-2026,Milk,20,25.0,0.1,450.0,0,0,0
SALE_000003,16-04-2026,Rice,15,60.0,0.0,900.0,0,0,0
SALE_000004,16-04-2026,Cooking Oil,8,150.0,0.05,1140.0,0,0,0
SALE_000005,16-04-2026,Bread,12,40.0,0.0,480.0,0,0,0
SALE_000006,16-04-2026,Milk,18,25.0,0.0,450.0,0,0,0
SALE_000007,16-04-2026,Rice,12,60.0,0.0,720.0,0,0,0
SALE_000008,16-04-2026,Bread,20,40.0,0.0,800.0,0,0,0
SALE_000009,16-04-2026,Milk,15,25.0,0.0,375.0,0,0,0
SALE_000010,16-04-2026,Cooking Oil,5,150.0,0.0,750.0,0,0,0
SALE_000011,16-04-2026,Masala,8,80.0,0.0,640.0,0,0,0
SALE_000012,16-04-2026,Milk,22,25.0,0.0,550.0,0,0,0
SALE_000013,16-04-2026,Biscuits,30,20.0,0.0,600.0,0,0,0
SALE_000014,16-04-2026,Rice,25,60.0,0.0,1500.0,0,0,0
SALE_000015,16-04-2026,Eggs,12,40.0,0.0,480.0,0,0,0
SALE_000016,16-04-2026,Milk,28,25.0,0.0,700.0,0,0,0
SALE_000017,16-04-2026,Snacks,15,50.0,0.0,750.0,0,0,0
SALE_000018,16-04-2026,Bread,25,40.0,0.0,1000.0,0,0,0
SALE_000019,16-04-2026,Curd,10,50.0,0.0,500.0,0,0,0
